mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
641540,203,175,845,0.263,44,21.67,23,11.33,0.355,0.509,0.864,0.246,377,99,26.26,11.72,132,15.62,27.34,22.97,17.46
592351,218,194,825,0.284,38,17.43,23,10.55,0.358,0.474,0.832,0.19,387,69,17.83,8.36,135,16.36,24.73,21.86,16.52
806185,186,152,818,0.217,48,25.81,28,15.05,0.346,0.342,0.688,0.12500000000000003,339,97,28.61,11.86,129,15.77,27.63,23.35,20.34
434378,203,180,815,0.244,42,20.69,15,7.39,0.302,0.456,0.758,0.21200000000000002,390,87,22.31,10.67,143,17.55,28.22,27.72,17.43
686730,208,190,808,0.311,37,17.79,15,7.21,0.365,0.579,0.944,0.26799999999999996,382,84,21.99,10.4,140,17.33,27.72,26.75,16.37
570632,205,177,805,0.237,33,16.1,21,10.24,0.32,0.39,0.71,0.15300000000000002,374,90,24.06,11.18,106,13.17,24.35,27.57,15.21
672456,213,193,800,0.249,41,19.25,16,7.51,0.313,0.435,0.748,0.186,373,81,21.72,10.12,149,18.62,28.75,27.97,17.86
669060,195,174,790,0.264,36,18.46,21,10.77,0.344,0.471,0.815,0.20699999999999996,358,71,19.83,8.99,137,17.34,26.33,22.42,14.34
657376,184,160,766,0.238,58,31.52,17,9.24,0.326,0.362,0.688,0.124,338,104,30.77,13.58,132,17.23,30.81,26.17,26.01
681190,199,178,766,0.365,16,8.04,15,7.54,0.421,0.539,0.96,0.17400000000000004,371,53,14.29,6.92,115,15.01,21.93,25.67,7.14
669022,186,163,755,0.282,40,21.51,19,10.22,0.368,0.466,0.8340000000000001,0.18400000000000005,369,102,27.64,13.51,98,12.98,26.49,25.54,17.78
682610,187,158,741,0.31,33,17.65,21,11.23,0.392,0.703,1.095,0.39299999999999996,318,69,21.7,9.31,113,15.25,24.56,22.06,15.38
684320,168,141,737,0.22,34,20.24,25,14.88,0.337,0.383,0.72,0.163,299,62,20.74,8.41,134,18.18,26.59,25.0,16.11
548389,206,195,732,0.333,25,12.14,7,3.4,0.351,0.477,0.828,0.14399999999999996,351,58,16.52,7.92,129,17.62,25.55,30.55,12.76
670102,187,171,724,0.199,31,16.58,13,6.95,0.263,0.363,0.626,0.16399999999999998,350,61,17.43,8.43,130,17.96,26.38,23.87,14.22
