Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
ST,Sweeper,BR,10,6.41,3,3,1,33.33,0,0.0,5,1,20.0,10.0,2,20.0,30.0,50.0,11.54,16.67,0.667,0.667,0.667,1.334,0.0,493329
FS,Split-Finger,OS,5,3.21,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,1.92,0.0,1.0,1.0,2.0,3.0,1.0,493329
CH,Changeup,OS,3,1.92,0,0,0,,0,,1,0,0.0,0.0,1,33.33,33.33,33.33,1.92,0.0,,,,,,493329
KC,Knuckle Curve,BR,2,1.28,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,1.92,0.0,,,,,,493329
FF,4-Seam Fastball,FB,219,27.9,63,56,7,11.11,5,7.94,108,7,6.48,3.2,41,18.72,21.92,26.09,24.38,14.29,0.321,0.387,0.464,0.851,0.143,500743
SL,Slider,BR,173,22.04,44,42,5,11.36,2,4.55,78,24,30.77,13.87,29,16.76,30.64,27.66,25.37,9.8,0.238,0.273,0.31,0.583,0.072,500743
SI,Sinker,FB,154,19.62,38,33,2,5.26,4,10.53,59,2,3.39,1.3,42,27.27,28.57,23.19,13.93,7.14,0.394,0.459,0.576,1.035,0.1819999999999999,500743
ST,Sweeper,BR,90,11.46,27,26,5,18.52,0,0.0,41,10,24.39,11.11,16,17.78,28.89,23.91,18.41,13.51,0.308,0.333,0.385,0.718,0.077,500743
FC,Cutter,FB,62,7.9,24,22,0,0.0,2,8.33,33,1,3.03,1.61,11,17.74,19.35,20.83,3.48,0.0,0.364,0.417,0.682,1.099,0.318,500743
CU,Curveball,BR,33,4.2,9,9,1,11.11,0,0.0,13,1,7.69,3.03,6,18.18,21.21,13.33,6.97,7.14,0.0,0.0,0.0,0.0,0.0,500743
CH,Changeup,OS,22,2.8,6,5,3,50.0,1,16.67,12,6,50.0,27.27,1,4.55,31.82,43.75,4.48,33.33,0.2,0.333,0.2,0.533,0.0,500743
FS,Split-Finger,OS,15,1.91,6,6,0,0.0,0,0.0,11,0,0.0,0.0,1,6.67,6.67,50.0,2.99,0.0,0.167,0.167,0.167,0.334,0.0,500743
FA,Other,,8,1.02,2,1,0,0.0,1,50.0,2,0,0.0,0.0,1,12.5,12.5,16.67,0.0,,0.0,0.5,0.0,0.5,0.0,500743
EP,Eephus,,3,0.38,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,33.33,0.0,,0.0,0.0,0.0,0.0,0.0,500743
KC,Knuckle Curve,BR,3,0.38,3,2,0,0.0,0,0.0,3,0,0.0,0.0,0,0.0,0.0,100.0,0.0,,0.5,0.333,1.0,1.333,0.5,500743
,,,3,0.38,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,500743
FF,4-Seam Fastball,FB,36,45.0,10,9,3,30.0,1,10.0,17,7,41.18,19.44,6,16.67,36.11,40.0,37.5,33.33,0.222,0.3,0.556,0.8560000000000001,0.3340000000000001,501303
CH,Changeup,OS,11,13.75,4,3,2,50.0,1,25.0,5,4,80.0,36.36,3,27.27,63.64,40.0,16.67,50.0,0.0,0.25,0.0,0.25,0.0,501303
ST,Sweeper,BR,9,11.25,2,1,1,50.0,0,0.0,2,1,50.0,11.11,4,44.44,55.56,25.0,12.5,33.33,0.0,0.0,0.0,0.0,0.0,501303
FS,Split-Finger,OS,7,8.75,1,1,1,100.0,0,0.0,4,1,25.0,14.29,1,14.29,28.57,33.33,12.5,33.33,0.0,0.0,0.0,0.0,0.0,501303
FC,Cutter,FB,5,6.25,2,2,1,50.0,0,0.0,1,0,0.0,0.0,2,40.0,40.0,50.0,12.5,33.33,0.0,0.0,0.0,0.0,0.0,501303
SL,Slider,BR,4,5.0,0,0,0,,0,,0,0,,0.0,1,25.0,25.0,0.0,0.0,,,,,,,501303
KC,Knuckle Curve,BR,4,5.0,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,0.0,4.17,0.0,1.0,1.0,1.0,2.0,0.0,501303
CU,Curveball,BR,3,3.75,0,0,0,,0,,1,0,0.0,0.0,2,66.67,66.67,0.0,4.17,0.0,,,,,,501303
SI,Sinker,FB,1,1.25,0,0,0,,0,,0,0,,0.0,1,100.0,100.0,,0.0,,,,,,,501303
FF,4-Seam Fastball,FB,434,29.95,108,96,21,19.44,12,11.11,192,43,22.4,9.91,97,22.35,32.26,12.73,28.12,16.67,0.25,0.333,0.375,0.708,0.125,502054
SL,Slider,BR,297,20.5,67,63,17,25.37,3,4.48,112,34,30.36,11.45,71,23.91,35.35,19.59,21.21,17.89,0.222,0.258,0.333,0.591,0.111,502054
SI,Sinker,FB,276,19.05,74,70,13,17.57,4,5.41,113,14,12.39,5.07,78,28.26,33.33,20.54,12.72,22.81,0.371,0.405,0.5,0.905,0.129,502054
FC,Cutter,FB,114,7.87,24,19,0,0.0,3,12.5,43,7,16.28,6.14,25,21.93,28.07,12.5,4.91,0.0,0.316,0.417,0.526,0.943,0.21,502054
ST,Sweeper,BR,112,7.73,29,28,10,34.48,1,3.45,41,12,29.27,10.71,16,14.29,25.0,22.97,10.94,20.41,0.25,0.276,0.321,0.597,0.071,502054
CH,Changeup,OS,80,5.52,26,25,10,38.46,1,3.85,45,16,35.56,20.0,6,7.5,27.5,42.31,9.38,23.81,0.16,0.192,0.24,0.432,0.0799999999999999,502054
CU,Curveball,BR,76,5.24,13,12,3,23.08,1,7.69,18,4,22.22,5.26,20,26.32,31.58,11.63,6.47,10.34,0.167,0.231,0.167,0.398,0.0,502054
FS,Split-Finger,OS,38,2.62,9,9,4,44.44,0,0.0,19,6,31.58,15.79,3,7.89,23.68,34.78,4.24,21.05,0.0,0.0,0.0,0.0,0.0,502054
KC,Knuckle Curve,BR,13,0.9,5,5,3,60.0,0,0.0,4,1,25.0,7.69,4,30.77,38.46,0.0,1.34,50.0,0.2,0.2,0.2,0.4,0.0,502054
SV,Slurve,BR,9,0.62,5,5,3,60.0,0,0.0,6,4,66.67,44.44,1,11.11,55.56,66.67,0.67,100.0,0.2,0.2,0.2,0.4,0.0,502054
FF,4-Seam Fastball,FB,429,29.36,95,81,28,29.47,10,10.53,201,37,18.41,8.62,78,18.18,26.81,18.89,29.29,19.31,0.222,0.323,0.481,0.804,0.259,502110
