Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,99,39.44,24,19,3,12.5,3,12.5,47,9,19.15,9.09,17,17.17,26.26,27.66,34.38,13.64,0.105,0.261,0.105,0.366,0.0,543877
CH,Changeup,OS,44,17.53,14,12,3,21.43,1,7.14,16,5,31.25,11.36,6,13.64,25.0,24.14,18.75,25.0,0.083,0.154,0.167,0.321,0.084,543877
SI,Sinker,FB,33,13.15,4,2,0,0.0,2,50.0,11,2,18.18,6.06,7,21.21,27.27,21.05,4.69,0.0,0.0,0.5,0.0,0.5,0.0,543877
FC,Cutter,FB,26,10.36,7,5,1,14.29,2,28.57,8,1,12.5,3.85,9,34.62,38.46,10.0,3.12,50.0,0.2,0.429,0.2,0.629,0.0,543877
SL,Slider,BR,19,7.57,5,5,2,40.0,0,0.0,8,0,0.0,0.0,3,15.79,15.79,20.0,17.19,18.18,0.0,0.0,0.0,0.0,0.0,543877
CU,Curveball,BR,9,3.59,3,3,2,66.67,0,0.0,4,1,25.0,11.11,2,22.22,33.33,33.33,9.38,33.33,0.333,0.333,0.333,0.666,0.0,543877
ST,Sweeper,BR,7,2.79,2,2,1,50.0,0,0.0,2,1,50.0,14.29,0,0.0,14.29,28.57,4.69,33.33,0.0,0.0,0.0,0.0,0.0,543877
FS,Split-Finger,OS,7,2.79,2,2,0,0.0,0,0.0,3,0,0.0,0.0,1,14.29,14.29,20.0,4.69,0.0,0.0,0.0,0.0,0.0,0.0,543877
FA,Other,,3,1.2,0,0,0,,0,,1,0,0.0,0.0,1,33.33,33.33,0.0,0.0,,,,,,,543877
EP,Eephus,,2,0.8,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,3.12,0.0,1.0,1.0,1.0,2.0,0.0,543877
KC,Knuckle Curve,BR,1,0.4,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,543877
,,,1,0.4,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,543877
FF,4-Seam Fastball,FB,51,27.87,16,16,1,6.25,0,0.0,25,1,4.0,1.96,15,29.41,31.37,44.44,30.61,6.67,0.25,0.25,0.438,0.688,0.188,545121
SL,Slider,BR,38,20.77,10,9,1,10.0,0,0.0,22,6,27.27,15.79,4,10.53,26.32,43.48,26.53,7.69,0.222,0.3,0.222,0.522,0.0,545121
CH,Changeup,OS,30,16.39,7,7,1,14.29,0,0.0,18,5,27.78,16.67,3,10.0,26.67,25.0,12.24,16.67,0.286,0.286,0.286,0.572,0.0,545121
SI,Sinker,FB,26,14.21,9,8,0,0.0,1,11.11,12,0,0.0,0.0,5,19.23,19.23,33.33,8.16,0.0,0.375,0.444,0.375,0.819,0.0,545121
CU,Curveball,BR,14,7.65,3,3,1,33.33,0,0.0,5,2,40.0,14.29,1,7.14,21.43,12.5,6.12,33.33,0.0,0.0,0.0,0.0,0.0,545121
FC,Cutter,FB,11,6.01,3,3,0,0.0,0,0.0,6,1,16.67,9.09,2,18.18,27.27,33.33,2.04,0.0,0.333,0.333,0.333,0.666,0.0,545121
ST,Sweeper,BR,6,3.28,2,2,1,50.0,0,0.0,3,2,66.67,33.33,2,33.33,66.67,33.33,6.12,33.33,0.0,0.0,0.0,0.0,0.0,545121
FS,Split-Finger,OS,5,2.73,2,2,1,50.0,0,0.0,3,1,33.33,20.0,0,0.0,20.0,33.33,8.16,25.0,0.5,0.5,2.0,2.5,1.5,545121
KC,Knuckle Curve,BR,2,1.09,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,545121
FF,4-Seam Fastball,FB,215,32.48,59,54,12,20.34,5,8.47,113,19,16.81,8.84,29,13.49,22.33,24.73,31.15,21.05,0.222,0.288,0.407,0.695,0.1849999999999999,545341
SL,Slider,BR,134,20.24,39,38,10,25.64,1,2.56,77,19,24.68,14.18,19,14.18,28.36,45.31,26.23,20.83,0.158,0.179,0.553,0.732,0.395,545341
CH,Changeup,OS,101,15.26,31,30,10,32.26,1,3.23,54,18,33.33,17.82,8,7.92,25.74,36.07,17.49,31.25,0.2,0.226,0.333,0.559,0.133,545341
