gid,date,year,batter,bSide,pitcher,pSide,result,isStrikeout,isWalk,bPA,bAVG,bK,bK%,bBB,bBB%,bOPS,bISO,bWhiff%,bSwStr%,bcStr%,bCSW%,bChase%,bPutaway%,pbPA,pbAVG,pbK,pbK%,pbBB,pbBB%,pbOPS,pbISO,pbWhiff%,pbSwStr%,pbcStr%,pbCSW%,pbChase%,pbPutaway%,pPA,pAVG,pK,pK%,pBB,pBB%,pOPS,pISO,pWhiff%,pSwStr%,pcStr%,pCSW%,pChase%,pPutaway%
745445,2024-03-28,2024,672275,L,506433,R,field_out,False,False,,,,,,,,,,,,,,,240.0,0.203,70.0,29.17,13.0,5.42,0.5569999999999999,0.0989999999999999,26.61,12.88,17.55,30.43,28.93,23.81,,,,,,,,,,,,,,
745445,2024-03-28,2024,605113,R,506433,R,double,False,False,,,,,,,,,,,,,,,88.0,0.293,24.0,27.27,6.0,6.82,0.78,0.146,25.79,12.65,20.37,33.02,32.05,24.0,,,,,,,,,,,,,,
745445,2024-03-28,2024,808982,L,506433,R,field_out,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745445,2024-03-28,2024,624585,R,506433,R,field_out,False,False,,,,,,,,,,,,,,,446.0,0.242,111.0,24.89,46.0,10.31,0.788,0.22,27.97,12.22,16.15,28.37,25.71,21.19,,,,,,,,,,,,,,
745445,2024-03-28,2024,669134,R,657277,R,field_out,False,False,,,,,,,,,,,,,,,127.0,0.289,14.0,11.02,4.0,3.15,0.753,0.141,16.53,9.26,14.96,24.23,34.76,11.97,,,,,,,,,,,,,,
745445,2024-03-28,2024,642180,L,657277,R,strikeout,True,False,,,,,,,,,,,,,,,48.0,0.283,12.0,25.0,2.0,4.17,0.6599999999999999,0.065,24.1,10.93,22.4,33.33,28.95,20.0,,,,,,,,,,,,,,
745445,2024-03-28,2024,701538,L,657277,R,strikeout,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745445,2024-03-28,2024,664774,L,506433,R,single,False,False,,,,,,,,,,,,,,,438.0,0.254,75.0,17.12,67.0,15.3,0.8049999999999999,0.174,20.67,7.99,18.45,26.43,16.81,16.03,,,,,,,,,,,,,,
745445,2024-03-28,2024,656305,R,506433,R,single,False,False,,,,,,,,,,,,,,,471.0,0.223,139.0,29.51,52.0,11.04,0.722,0.179,31.15,13.33,17.79,31.11,18.61,21.72,,,,,,,,,,,,,,
745445,2024-03-28,2024,573262,L,506433,R,strikeout,True,False,,,,,,,,,,,,,,,296.0,0.243,75.0,25.34,40.0,13.51,0.831,0.235,23.69,9.65,18.67,28.32,20.68,19.69,,,,,,,,,,,,,,
745445,2024-03-28,2024,642731,R,506433,R,field_out,False,False,,,,,,,,,,,,,,,380.0,0.276,84.0,22.11,15.0,3.95,0.767,0.172,21.44,11.24,17.01,28.25,38.17,20.1,,,,,,,,,,,,,,
745445,2024-03-28,2024,624424,L,506433,R,strikeout,True,False,,,,,,,,,,,,,,,368.0,0.245,77.0,20.92,50.0,13.59,0.753,0.155,23.68,10.56,15.02,25.57,23.23,16.81,,,,,,,,,,,,,,
745445,2024-03-28,2024,593428,R,657277,R,single,False,False,,,,,,,,,,,,,,,492.0,0.283,82.0,16.67,44.0,8.94,0.788,0.149,19.79,8.49,21.4,29.89,25.99,14.36,,,,,,,,,,,,,,
745445,2024-03-28,2024,665487,R,657277,R,grounded_into_double_play,False,False,,,,,,,,,,,,,,,489.0,0.244,114.0,23.31,37.0,7.57,0.728,0.181,31.62,17.66,8.94,26.61,34.25,23.98,,,,,,,,,,,,,,
745445,2024-03-28,2024,630105,L,657277,R,field_out,False,False,,,,,,,,,,,,,,,367.0,0.23,59.0,16.08,36.0,9.81,0.7,0.154,14.92,6.99,16.69,23.68,24.61,14.08,,,,,,,,,,,,,,
745445,2024-03-28,2024,672275,L,506433,R,strikeout,True,False,,,,,,,,,,,,,,,240.0,0.203,70.0,29.17,13.0,5.42,0.5569999999999999,0.0989999999999999,26.61,12.88,17.55,30.43,28.93,23.81,,,,,,,,,,,,,,
745445,2024-03-28,2024,605113,R,506433,R,field_out,False,False,,,,,,,,,,,,,,,88.0,0.293,24.0,27.27,6.0,6.82,0.78,0.146,25.79,12.65,20.37,33.02,32.05,24.0,,,,,,,,,,,,,,
745445,2024-03-28,2024,808982,L,506433,R,single,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745445,2024-03-28,2024,624585,R,506433,R,pickoff_caught_stealing_2b,False,False,,,,,,,,,,,,,,,446.0,0.242,111.0,24.89,46.0,10.31,0.788,0.22,27.97,12.22,16.15,28.37,25.71,21.19,,,,,,,,,,,,,,
745445,2024-03-28,2024,592518,R,657277,R,walk,False,True,,,,,,,,,,,,,,,452.0,0.241,83.0,18.36,36.0,7.96,0.747,0.205,24.68,12.42,14.05,26.47,29.58,16.9,,,,,,,,,,,,,,
745445,2024-03-28,2024,673490,R,657277,R,single,False,False,,,,,,,,,,,,,,,435.0,0.241,94.0,21.61,55.0,12.64,0.681,0.1,18.8,7.03,23.65,30.68,19.23,15.59,,,,,,,,,,,,,,
745445,2024-03-28,2024,595777,L,657277,R,single,False,False,,,,,,,,,,,,,,,375.0,0.229,68.0,18.13,37.0,9.87,0.6559999999999999,0.1159999999999999,21.66,10.43,14.17,24.61,26.12,14.59,,,,,,,,,,,,,,
745445,2024-03-28,2024,669134,R,657277,R,single,False,False,,,,,,,,,,,,,,,127.0,0.289,14.0,11.02,4.0,3.15,0.753,0.141,16.53,9.26,14.96,24.23,34.76,11.97,,,,,,,,,,,,,,
745445,2024-03-28,2024,642180,L,657277,R,field_out,False,False,,,,,,,,,,,,,,,48.0,0.283,12.0,25.0,2.0,4.17,0.6599999999999999,0.065,24.1,10.93,22.4,33.33,28.95,20.0,,,,,,,,,,,,,,
745445,2024-03-28,2024,701538,L,657277,R,fielders_choice_out,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745445,2024-03-28,2024,593428,R,657277,R,field_out,False,False,,,,,,,,,,,,,,,492.0,0.283,82.0,16.67,44.0,8.94,0.788,0.149,19.79,8.49,21.4,29.89,25.99,14.36,,,,,,,,,,,,,,
745445,2024-03-28,2024,624585,R,506433,R,walk,False,True,,,,,,,,,,,,,,,446.0,0.242,111.0,24.89,46.0,10.31,0.788,0.22,27.97,12.22,16.15,28.37,25.71,21.19,,,,,,,,,,,,,,
745445,2024-03-28,2024,527038,R,676680,L,strikeout,True,False,,,,,,,,,,,,,,,182.0,0.303,28.0,15.38,14.0,7.69,0.886,0.224,17.07,7.55,21.16,28.71,29.47,12.17,,,,,,,,,,,,,,
745445,2024-03-28,2024,656305,R,676680,L,field_out,False,False,,,,,,,,,,,,,,,113.0,0.307,26.0,23.01,10.0,8.85,0.89,0.208,30.77,13.88,17.35,31.24,20.45,17.81,,,,,,,,,,,,,,
745445,2024-03-28,2024,573262,L,676680,L,strikeout,True,False,,,,,,,,,,,,,,,85.0,0.203,24.0,28.24,5.0,5.88,0.5920000000000001,0.139,23.31,9.57,22.84,32.41,18.67,26.37,,,,,,,,,,,,,,
745445,2024-03-28,2024,665487,R,657277,R,single,False,False,,,,,,,,,,,,,,,489.0,0.244,114.0,23.31,37.0,7.57,0.728,0.181,31.62,17.66,8.94,26.61,34.25,23.98,,,,,,,,,,,,,,
745445,2024-03-28,2024,630105,L,657277,R,field_out,False,False,,,,,,,,,,,,,,,367.0,0.23,59.0,16.08,36.0,9.81,0.7,0.154,14.92,6.99,16.69,23.68,24.61,14.08,,,,,,,,,,,,,,
745445,2024-03-28,2024,592518,R,657277,R,field_out,False,False,,,,,,,,,,,,,,,452.0,0.241,83.0,18.36,36.0,7.96,0.747,0.205,24.68,12.42,14.05,26.47,29.58,16.9,,,,,,,,,,,,,,
745445,2024-03-28,2024,673490,R,657277,R,intent_walk,False,True,,,,,,,,,,,,,,,435.0,0.241,94.0,21.61,55.0,12.64,0.681,0.1,18.8,7.03,23.65,30.68,19.23,15.59,,,,,,,,,,,,,,
745445,2024-03-28,2024,640492,R,657277,R,strikeout,True,False,,,,,,,,,,,,,,,48.0,0.286,12.0,25.0,3.0,6.25,0.824,0.19,25.0,13.1,18.45,31.55,43.33,22.64,,,,,,,,,,,,,,
