mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
571710,16,10,76,0.3,2,12.5,4,25.0,0.5,0.4,0.9,0.10000000000000003,34,6,17.65,7.89,9,11.84,19.74,23.26,8.0
656887,16,12,73,0.083,6,37.5,3,18.75,0.25,0.167,0.41700000000000004,0.084,29,9,31.03,12.33,18,24.66,36.99,20.0,25.0
656641,17,14,73,0.071,3,17.65,3,17.65,0.235,0.071,0.306,0.0,35,12,34.29,16.44,11,15.07,31.51,34.04,11.54
502179,18,15,69,0.6,2,11.11,2,11.11,0.611,0.933,1.544,0.3330000000000001,29,4,13.79,5.8,11,15.94,21.74,20.51,14.29
681869,17,14,68,0.286,4,23.53,2,11.76,0.353,0.357,0.71,0.07100000000000001,37,13,35.14,19.12,8,11.76,30.88,28.57,18.18
608334,17,14,67,0.214,1,5.88,3,17.65,0.353,0.429,0.782,0.215,24,3,12.5,4.48,12,17.91,22.39,14.71,9.09
677076,17,15,67,0.533,3,17.65,2,11.76,0.588,1.133,1.721,0.6,27,5,18.52,7.46,15,22.39,29.85,25.64,14.29
640454,16,13,66,0.462,1,6.25,2,12.5,0.5,0.769,1.2690000000000001,0.307,33,8,24.24,12.12,10,15.15,27.27,31.43,5.26
675921,14,11,66,0.273,1,7.14,2,14.29,0.429,0.545,0.974,0.272,24,7,29.17,10.61,11,16.67,27.27,18.42,4.76
670766,17,16,66,0.25,7,41.18,1,5.88,0.294,0.438,0.732,0.188,28,13,46.43,19.7,17,25.76,45.45,34.38,31.82
622608,15,14,66,0.143,1,6.67,1,6.67,0.2,0.357,0.5569999999999999,0.214,32,4,12.5,6.06,8,12.12,18.18,16.67,4.55
670097,21,19,66,0.474,1,4.76,1,4.76,0.524,0.474,0.998,0.0,32,2,6.25,3.03,7,10.61,13.64,33.33,10.0
621199,16,14,66,0.286,3,18.75,1,6.25,0.312,0.5,0.812,0.21400000000000002,23,3,13.04,4.55,18,27.27,31.82,16.22,20.0
657093,14,12,65,0.417,2,14.29,2,14.29,0.5,1.083,1.583,0.6659999999999999,33,6,18.18,9.23,9,13.85,23.08,33.33,8.0
611093,17,14,65,0.357,3,17.65,3,17.65,0.471,0.429,0.8999999999999999,0.07200000000000001,25,8,32.0,12.31,15,23.08,35.38,21.88,20.0
686842,18,13,65,0.308,2,11.11,3,16.67,0.5,0.769,1.2690000000000001,0.461,24,7,29.17,10.77,11,16.92,27.69,15.15,13.33
693312,18,14,65,0.5,2,11.11,3,16.67,0.611,0.857,1.468,0.357,30,6,20.0,9.23,11,16.92,26.15,25.0,15.38
669724,17,17,64,0.412,1,5.88,0,0.0,0.412,0.647,1.059,0.23500000000000004,32,2,6.25,3.12,17,26.56,29.69,41.38,4.0
677161,19,14,62,0.214,2,10.53,2,10.53,0.389,0.357,0.746,0.143,23,3,13.04,4.84,13,20.97,25.81,24.24,16.67
656820,15,15,62,0.4,4,26.67,0,0.0,0.4,0.733,1.133,0.33299999999999996,29,10,34.48,16.13,11,17.74,33.87,30.56,22.22
657424,14,13,62,0.308,3,21.43,1,7.14,0.357,0.615,0.972,0.307,21,5,23.81,8.06,13,20.97,29.03,23.53,27.27
