year,date,gid
2024,2024-05-31,747032
2024,2024-05-31,744928
2024,2024-05-31,746955
2024,2024-05-31,746635
2024,2024-05-31,745820
2024,2024-05-31,746059
2024,2024-05-31,747116
2024,2024-06-01,746303
2024,2024-06-01,746387
2024,2024-06-01,745983
2024,2024-06-01,746140
2024,2024-06-01,745253
2024,2024-06-01,745331
2024,2024-06-01,744932
2024,2024-06-01,747029
2024,2024-06-01,746952
2024,2024-06-01,746629
2024,2024-06-01,745812
2024,2024-06-01,746305
2024,2024-06-01,746384
2024,2024-06-01,747111
2024,2024-06-01,746062
2024,2024-06-01,745980
2024,2024-06-01,746870
2024,2024-06-01,745251
2024,2024-06-01,745575
2024,2024-06-02,745332
2024,2024-06-02,746138
2024,2024-06-02,746383
2024,2024-06-02,746953
2024,2024-06-02,747030
2024,2024-06-02,747110
2024,2024-06-02,744929
2024,2024-06-02,746632
2024,2024-06-02,745813
2024,2024-06-02,746061
2024,2024-06-02,746301
2024,2024-06-02,745984
2024,2024-06-02,746871
2024,2024-06-02,745330
2024,2024-06-02,746141
2024,2024-06-02,745252
2024,2024-06-02,745572
2024,2024-06-03,745569
2024,2024-06-03,744854
2024,2024-06-03,744930
2024,2024-06-04,745009
2024,2024-06-04,746382
2024,2024-06-04,746548
2024,2024-06-04,746224
2024,2024-06-04,747194
2024,2024-06-04,746630
2024,2024-06-04,745497
2024,2024-06-04,746060
2024,2024-06-04,745568
2024,2024-06-04,744850
2024,2024-06-04,745739
2024,2024-06-04,744931
2024,2024-06-04,746949
2024,2024-06-05,745010
2024,2024-06-05,746872
2024,2024-06-05,746380
2024,2024-06-05,746550
2024,2024-06-05,746222
2024,2024-06-05,745656
2024,2024-06-05,747196
2024,2024-06-05,746950
2024,2024-06-05,746379
2024,2024-06-05,746544
2024,2024-06-05,747195
2024,2024-06-05,744852
2024,2024-06-05,745570
2024,2024-06-05,745494
2024,2024-06-05,746056
2024,2024-06-05,745740
2024,2024-06-05,744927
2024,2024-06-06,745007
2024,2024-06-06,746873
2024,2024-06-06,746221
2024,2024-06-06,745654
2024,2024-08-26,746628
2024,2024-06-06,744923
2024,2024-06-06,746631
2024,2024-06-06,745657
2024,2024-06-06,745495
2024,2024-06-06,744844
2024,2024-06-06,745738
2024,2024-06-06,746707
2024,2024-06-06,745174
2024,2024-06-07,746784
2024,2024-06-07,745408
2024,2024-06-07,745169
2024,2024-06-07,745496
2024,2024-06-07,746466
2024,2024-06-07,744845
2024,2024-06-07,745083
2024,2024-06-07,745737
2024,2024-06-07,746704
2024,2024-06-07,746053
2024,2024-06-08,745008
2024,2024-06-08,746302
2024,2024-06-08,746785
2024,2024-06-08,746220
2024,2024-06-08,745406
2024,2024-06-08,745655
2024,2024-06-08,745814
2024,2024-06-08,745001
2024,2024-06-08,745492
2024,2024-06-08,744848
2024,2024-06-08,745652
2024,2024-06-08,746703
2024,2024-06-08,746300
2024,2024-06-08,745082
2024,2024-06-08,746786
2024,2024-06-08,746461
2024,2024-06-08,745166
2024,2024-06-08,746057
2024,2024-06-08,745735
2024,2024-06-09,745410
2024,2024-06-09,746223
2024,2024-06-09,745571
2024,2024-06-09,745003
2024,2024-06-09,745491
2024,2024-06-09,744849
2024,2024-06-09,746705
2024,2024-06-09,745085
2024,2024-06-09,746054
2024,2024-06-09,746463
2024,2024-06-09,746297
2024,2024-06-09,746787
2024,2024-06-09,745167
2024,2024-06-09,746216
2024,2024-06-09,745651
2024,2024-06-09,745407
2024,2024-06-09,745736
2024,2024-06-10,745080
2024,2024-06-10,745897
2024,2024-06-11,746295
2024,2024-06-11,745982
2024,2024-06-11,745409
2024,2024-06-11,745248
2024,2024-06-11,745334
2024,2024-06-11,747027
2024,2024-06-11,746464
2024,2024-06-11,745077
2024,2024-06-11,746702
2024,2024-06-11,746951
2024,2024-06-11,745815
2024,2024-06-11,745899
2024,2024-06-11,745170
2024,2024-06-12,746296
2024,2024-06-12,745981
2024,2024-06-12,747190
2024,2024-06-12,745404
2024,2024-06-12,745244
2024,2024-06-12,745327
2024,2024-06-12,746139
2024,2024-06-12,745896
2024,2024-06-12,745978
2024,2024-06-12,745328
2024,2024-06-12,745405
2024,2024-06-12,747028
2024,2024-06-12,746462
2024,2024-06-12,745079
2024,2024-06-12,746701
2024,2024-06-12,746948
2024,2024-06-12,745811
2024,2024-06-12,745171
2024,2024-06-13,746294
2024,2024-06-13,747193
2024,2024-06-13,745246
2024,2024-06-13,746137
2024,2024-06-13,747026
2024,2024-06-13,746465
2024,2024-06-13,746299
2024,2024-06-13,745168
2024,2024-06-13,745075
2024,2024-06-13,746944
2024,2024-06-13,745809
2024,2024-06-13,745894
2024,2024-06-14,747192
2024,2024-06-14,745245
2024,2024-06-14,746136
2024,2024-06-14,746869
2024,2024-06-14,746947
2024,2024-06-14,744847
2024,2024-06-14,747025
2024,2024-06-14,744924
2024,2024-06-14,745810
2024,2024-06-14,747112
2024,2024-06-15,746378
2024,2024-06-15,745892
2024,2024-06-15,745979
2024,2024-06-15,746545
2024,2024-06-15,747191
2024,2024-06-15,746134
2024,2024-06-15,745247
2024,2024-06-15,745326
2024,2024-06-15,746865
2024,2024-06-15,744925
2024,2024-06-15,745329
2024,2024-06-15,747024
2024,2024-06-15,744846
2024,2024-06-15,746381
2024,2024-06-15,745805
2024,2024-06-15,747113
2024,2024-06-15,745976
2024,2024-06-15,745241
2024,2024-06-15,746946
2024,2024-06-16,746135
2024,2024-06-16,746547
2024,2024-06-16,747187
2024,2024-06-16,745891
2024,2024-06-16,746866
2024,2024-06-16,747023
2024,2024-06-16,747109
2024,2024-06-16,744839
2024,2024-06-16,744926
2024,2024-06-16,745807
2024,2024-06-16,746377
2024,2024-06-16,745895
2024,2024-06-16,745977
2024,2024-06-16,746546
2024,2024-06-16,745321
2024,2024-06-16,746130
2024,2024-06-16,745242
2024,2024-06-16,747189
2024,2024-06-16,746945
2024,2024-06-17,745490
2024,2024-06-17,745567
2024,2024-06-17,746055
2024,2024-06-17,744918
2024,2024-06-17,747108
2024,2024-06-18,746868
2024,2024-06-18,745005
2024,2024-06-18,746543
2024,2024-06-18,746215
2024,2024-06-18,746049
2024,2024-06-18,745488
2024,2024-06-18,746627
2024,2024-06-18,745563
2024,2024-06-18,744843
2024,2024-06-18,745733
2024,2024-06-18,744917
2024,2024-06-18,747107
2024,2024-06-18,745893
2024,2024-06-19,746867
2024,2024-06-19,745004
2024,2024-06-19,746783
2024,2024-06-19,746542
2024,2024-06-19,746217
2024,2024-06-19,745650
2024,2024-06-19,747106
2024,2024-06-19,745489
2024,2024-06-19,746050
2024,2024-06-19,745561
2024,2024-06-19,746864
2024,2024-06-19,744842
2024,2024-06-19,746625
2024,2024-06-19,745732
2024,2024-06-19,744920
2024,2024-06-19,745887
2024,2024-06-20,745002
2024,2024-06-20,746781
2024,2024-06-20,746538
2024,2024-06-20,746219
2024,2024-06-20,745646
2024,2024-06-20,744841
2024,2024-06-20,746626
2024,2024-06-20,745889
2024,2024-06-20,746782
2024,2024-06-20,746539
2024,2024-06-20,745645
2024,2024-06-20,745734
2024,2024-06-20,745164
2024,2024-06-21,745401
2024,2024-06-21,746861
2024,2024-06-21,745483
2024,2024-06-21,745562
2024,2024-06-21,746460
2024,2024-06-21,745729
2024,2024-06-21,746698
2024,2024-06-21,746624
2024,2024-06-21,746052
2024,2024-06-22,745006
2024,2024-06-22,746375
2024,2024-06-22,746540
2024,2024-06-22,745649
2024,2024-06-22,745403
2024,2024-06-22,746131
2024,2024-06-22,746459
2024,2024-06-22,745163
2024,2024-06-22,746863
2024,2024-06-22,745486
2024,2024-06-22,744997
2024,2024-06-22,745564
2024,2024-06-22,745644
2024,2024-06-22,746700
2024,2024-06-22,746376
2024,2024-06-22,746622
2024,2024-06-22,746048
2024,2024-06-22,745731
2024,2024-06-22,745402
2024,2024-06-23,746541
2024,2024-06-23,746132
2024,2024-06-23,745566
2024,2024-06-23,745485
2024,2024-06-23,745727
2024,2024-06-23,746699
2024,2024-06-23,746621
2024,2024-06-23,746457
2024,2024-06-23,746051
2024,2024-06-23,746373
2024,2024-06-23,745165
2024,2024-06-23,745000
2024,2024-06-23,746536
2024,2024-06-23,745648
2024,2024-06-23,745396
2024,2024-06-23,746862
2024,2024-06-24,747021
2024,2024-06-24,746458
2024,2024-06-24,745078
2024,2024-06-24,746696
2024,2024-06-24,746941
2024,2024-06-24,745160
2024,2024-06-25,746780
2024,2024-06-25,746298
2024,2024-06-25,745974
2024,2024-06-25,746218
2024,2024-06-25,745397
2024,2024-06-25,745323
2024,2024-06-25,747022
2024,2024-06-25,746454
2024,2024-06-25,745076
2024,2024-06-25,746697
2024,2024-06-25,746943
2024,2024-06-25,745806
2024,2024-06-26,746372
2024,2024-06-26,746775
2024,2024-06-26,746293
2024,2024-06-26,745973
2024,2024-06-26,746213
2024,2024-06-26,745399
2024,2024-06-26,747188
2024,2024-06-26,745322
2024,2024-06-26,745157
2024,2024-06-26,745073
2024,2024-06-26,746695
2024,2024-06-26,746456
2024,2024-06-26,745158
2024,2024-06-26,746374
2024,2024-06-26,746291
2024,2024-06-26,745975
2024,2024-06-26,746212
2024,2024-06-26,745400
2024,2024-06-26,747019
2024,2024-08-26,746942
2024,2024-06-26,745808
2024,2024-06-27,746777
2024,2024-06-27,747184
2024,2024-06-27,745325
2024,2024-06-27,747185
2024,2024-06-27,745324
2024,2024-06-27,745565
2024,2024-06-27,747020
2024,2024-06-27,744919
2024,2024-06-27,745162
2024,2024-06-28,746288
2024,2024-06-28,746210
2024,2024-06-28,745560
2024,2024-06-28,745070
2024,2024-06-28,747017
2024,2024-06-28,744922
2024,2024-06-28,745804
2024,2024-06-28,746939
2024,2024-06-28,746776
2024,2024-06-28,747105
2024,2024-06-29,746292
2024,2024-06-29,745970
2024,2024-06-29,745161
2024,2024-06-29,746214
2024,2024-06-29,747183
2024,2024-06-29,745238
2024,2024-06-29,745319
2024,2024-06-29,746778
2024,2024-06-29,745159
2024,2024-06-29,744921
2024,2024-06-29,745559
2024,2024-06-29,746289
2024,2024-06-29,745801
2024,2024-06-29,747186
2024,2024-06-29,746940
2024,2024-06-29,745071
2024,2024-06-29,747104
2024,2024-06-29,745972
2024,2024-06-29,745317
2024,2024-06-29,747018
2024,2024-06-30,746211
2024,2024-06-30,745239
2024,2024-06-30,747101
2024,2024-06-30,746938
2024,2024-06-30,745555
2024,2024-06-30,744916
2024,2024-06-30,745802
2024,2024-06-30,745072
2024,2024-06-30,746290
2024,2024-06-30,746779
2024,2024-06-30,745971
2024,2024-06-30,745154
2024,2024-06-30,745320
2024,2024-06-30,746209
2024,2024-06-30,747182
2024,2024-06-30,745243
2024,2024-06-30,747016
2024,2024-07-01,744914
2024,2024-07-01,744840
2024,2024-07-02,746535
2024,2024-07-02,745482
2024,2024-07-02,746623
2024,2024-07-02,746047
2024,2024-07-02,744838
2024,2024-07-02,745730
2024,2024-07-02,744913
2024,2024-07-02,747102
2024,2024-07-02,745886
2024,2024-07-03,744999
2024,2024-07-03,746860
2024,2024-07-03,746282
2024,2024-07-03,746537
2024,2024-07-03,745647
2024,2024-07-03,745240
2024,2024-07-03,746133
2024,2024-07-03,745487
2024,2024-07-03,746617
2024,2024-07-03,746045
2024,2024-07-03,744837
2024,2024-07-03,745728
2024,2024-07-03,744915
2024,2024-07-03,747100
2024,2024-07-04,744998
2024,2024-07-04,746858
2024,2024-07-04,746283
2024,2024-07-04,745888
2024,2024-07-04,746534
2024,2024-07-04,745643
2024,2024-07-04,746128
2024,2024-07-04,745234
2024,2024-07-04,744834
2024,2024-07-04,745484
2024,2024-07-04,745726
2024,2024-07-04,744912
2024,2024-07-04,745890
2024,2024-07-04,746619
2024,2024-07-04,746043
2024,2024-07-04,746857
2024,2024-07-04,744996
2024,2024-07-04,745641
2024,2024-07-04,745236
2024,2024-07-04,747103
2024,2024-07-05,746285
2024,2024-07-05,746532
2024,2024-07-05,746126
2024,2024-07-05,746859
2024,2024-07-05,745479
2024,2024-07-05,744836
2024,2024-07-05,745725
2024,2024-07-05,746693
2024,2024-07-05,746620
2024,2024-07-05,746046
2024,2024-07-05,747097
2024,2024-07-06,744992
2024,2024-07-06,746533
2024,2024-07-06,745884
2024,2024-07-06,745639
2024,2024-07-06,745398
2024,2024-07-06,745237
2024,2024-07-06,746127
2024,2024-07-06,745724
2024,2024-07-06,745885
2024,2024-07-06,746856
2024,2024-07-06,745476
2024,2024-07-06,744835
2024,2024-07-06,744995
2024,2024-07-06,745642
2024,2024-07-06,746694
2024,2024-07-06,746615
2024,2024-07-06,745235
2024,2024-07-06,746044
2024,2024-07-06,747099
2024,2024-07-06,746129
2024,2024-07-07,746529
2024,2024-07-07,745395
2024,2024-07-07,745477
2024,2024-07-07,744832
2024,2024-07-07,747098
2024,2024-07-07,746691
2024,2024-07-07,746616
2024,2024-07-07,746039
2024,2024-07-07,745883
2024,2024-07-07,746855
2024,2024-07-07,744993
2024,2024-07-07,746530
2024,2024-07-07,745637
2024,2024-07-07,745391
2024,2024-07-07,745233
2024,2024-07-07,746122
2024,2024-07-07,745723
2024,2024-07-08,745480
2024,2024-07-08,744833
2024,2024-07-08,746455
2024,2024-07-08,746692
2024,2024-07-09,746771
2024,2024-07-09,746208
2024,2024-07-09,747181
2024,2024-07-09,747014
2024,2024-07-09,746451
2024,2024-07-09,745557
2024,2024-07-09,745074
2024,2024-07-09,746690
2024,2024-07-09,745803
2024,2024-07-09,746937
2024,2024-07-10,746368
2024,2024-07-10,745968
2024,2024-07-10,746206
2024,2024-07-10,745393
2024,2024-07-10,747180
2024,2024-07-10,745316
2024,2024-07-10,745155
2024,2024-07-10,746773
2024,2024-07-10,745156
2024,2024-07-10,746772
2024,2024-07-10,747015
2024,2024-07-10,746453
2024,2024-07-10,745394
2024,2024-07-10,745069
2024,2024-07-10,745556
2024,2024-07-10,746689
2024,2024-07-10,745796
2024,2024-07-10,746934
2024,2024-07-11,746366
2024,2024-07-11,745969
2024,2024-07-11,746205
2024,2024-07-11,747179
2024,2024-07-11,745318
2024,2024-07-11,746688
2024,2024-07-11,746452
2024,2024-07-11,745799
2024,2024-07-11,745967
2024,2024-07-11,745313
2024,2024-07-11,745558
2024,2024-07-11,747011
2024,2024-07-11,745065
2024,2024-07-11,746935
2024,2024-07-12,746367
2024,2024-07-12,746204
2024,2024-07-12,747178
2024,2024-07-12,746450
2024,2024-07-12,745552
2024,2024-07-12,745064
2024,2024-07-12,747012
2024,2024-07-12,746936
2024,2024-07-12,745800
2024,2024-07-12,746685
2024,2024-07-13,746371
2024,2024-07-13,746774
2024,2024-07-13,745965
2024,2024-07-13,745153
2024,2024-07-13,746207
2024,2024-07-13,747175
2024,2024-07-13,745390
2024,2024-07-13,745312
2024,2024-07-13,775214
2024,2024-07-13,746447
2024,2024-07-13,746766
2024,2024-07-13,745152
2024,2024-07-13,745549
2024,2024-07-13,747013
2024,2024-07-13,746930
2024,2024-07-13,745798
2024,2024-07-13,745067
2024,2024-07-13,746369
2024,2024-07-13,746687
2024,2024-07-13,745963
2024,2024-07-13,745311
2024,2024-07-13,745392
2024,2024-07-14,746202
2024,2024-07-14,747177
2024,2024-07-14,747009
2024,2024-07-14,746932
2024,2024-07-14,745551
2024,2024-07-14,746449
2024,2024-07-14,745797
2024,2024-07-14,745066
2024,2024-07-14,746686
2024,2024-07-14,746370
2024,2024-07-14,746769
2024,2024-07-14,745962
2024,2024-07-14,745151
2024,2024-07-14,745314
2024,2024-07-14,746201
2024,2024-07-14,747176
2024,2024-07-14,745385
2024,2024-07-17,747298
2024,2024-07-19,746854
2024,2024-07-19,745481
2024,2024-07-19,744829
2024,2024-07-19,745721
2024,2024-07-19,744911
2024,2024-07-19,746618
2024,2024-07-19,746040
2024,2024-07-20,744990
2024,2024-07-20,746284
2024,2024-07-20,746531
2024,2024-07-20,745640
2024,2024-07-20,746123
2024,2024-07-20,745228
2024,2024-07-20,747093
2024,2024-07-20,745720
2024,2024-07-20,747096
2024,2024-07-20,744910
2024,2024-07-20,745638
2024,2024-07-20,746041
2024,2024-07-20,745478
2024,2024-07-20,744830
2024,2024-07-20,744994
2024,2024-07-20,746613
2024,2024-07-20,746286
2024,2024-07-20,745880
2024,2024-07-20,746852
2024,2024-07-20,746121
2024,2024-07-21,746527
2024,2024-07-21,745229
2024,2024-07-21,745882
2024,2024-07-21,744831
2024,2024-07-21,745470
2024,2024-07-21,747094
2024,2024-07-21,745722
2024,2024-07-21,744909
2024,2024-07-21,746610
2024,2024-07-21,746042
2024,2024-07-21,746287
2024,2024-07-21,746853
2024,2024-07-21,744991
2024,2024-07-21,746528
2024,2024-07-21,745633
2024,2024-07-21,745230
2024,2024-07-21,746125
2024,2024-07-22,745717
2024,2024-07-22,746612
2024,2024-07-22,745473
2024,2024-07-22,746034
2024,2024-07-22,747095
2024,2024-07-22,745881
2024,2024-07-23,744988
2024,2024-07-23,746850
2024,2024-07-23,746280
2024,2024-07-23,746526
2024,2024-07-23,745635
2024,2024-07-23,745232
2024,2024-07-23,746124
2024,2024-07-23,746614
2024,2024-07-23,745475
2024,2024-07-23,746036
2024,2024-07-23,744828
2024,2024-07-23,745715
2024,2024-07-23,744904
2024,2024-07-23,745878
2024,2024-07-24,744985
2024,2024-07-24,746848
2024,2024-07-24,746281
2024,2024-07-24,746524
2024,2024-07-24,745632
2024,2024-07-24,745227
2024,2024-07-24,746118
2024,2024-09-09,747090
2024,2024-07-24,747091
2024,2024-07-24,745472
2024,2024-07-24,745877
2024,2024-07-24,746851
2024,2024-07-24,746525
2024,2024-07-24,745634
2024,2024-07-24,745231
2024,2024-07-24,746611
2024,2024-07-24,746035
2024,2024-07-24,744824
2024,2024-07-24,745716
2024,2024-07-24,744905
2024,2024-07-25,744989
2024,2024-07-25,746279
2024,2024-07-25,746119
2024,2024-07-25,744827
2024,2024-07-25,746037
2024,2024-07-25,746609
2024,2024-07-25,744984
2024,2024-07-25,744907
2024,2024-07-25,746117
2024,2024-07-25,745794
2024,2024-07-26,746199
2024,2024-07-26,746448
2024,2024-07-26,745554
2024,2024-07-26,745068
2024,2024-07-26,747010
2024,2024-07-26,744906
2024,2024-07-26,745792
2024,2024-07-26,746933
2024,2024-07-27,746277
2024,2024-07-27,746361
2024,2024-07-27,746767
2024,2024-07-27,745964
2024,2024-07-27,745146
2024,2024-07-27,746200
2024,2024-07-27,747174
2024,2024-07-27,745315
2024,2024-07-27,744908
2024,2024-07-27,747006
2024,2024-07-27,745059
2024,2024-07-27,745793
2024,2024-07-27,745553
2024,2024-07-27,746446
2024,2024-07-27,745307
2024,2024-07-27,745310
2024,2024-07-27,746278
2024,2024-07-27,746362
2024,2024-07-27,745966
2024,2024-07-27,745150
2024,2024-07-27,746768
2024,2024-07-27,746931
2024,2024-07-28,747171
2024,2024-07-28,746203
2024,2024-07-28,745063
2024,2024-07-28,747008
2024,2024-07-28,745550
2024,2024-07-28,744902
2024,2024-07-28,746445
2024,2024-07-28,745795
2024,2024-07-28,746274
2024,2024-07-28,746364
2024,2024-07-28,746770
2024,2024-07-28,745961
2024,2024-07-28,745145
2024,2024-07-28,745305
2024,2024-07-28,746195
2024,2024-07-28,747173
2024,2024-07-28,746929
2024,2024-07-29,747007
2024,2024-07-29,746444
2024,2024-07-29,745547
2024,2024-07-29,746684
2024,2024-07-29,746928
2024,2024-07-29,745791
2024,2024-07-29,745147
2024,2024-07-30,746360
2024,2024-07-30,746765
2024,2024-07-30,745959
2024,2024-07-30,747172
2024,2024-07-30,746441
2024,2024-07-30,747005
2024,2024-07-30,745546
2024,2024-07-30,745060
2024,2024-07-30,746683
2024,2024-07-30,746926
2024,2024-07-30,745787
2024,2024-07-30,745149
2024,2024-07-31,746365
2024,2024-07-31,746763
2024,2024-07-31,745958
2024,2024-07-31,746197
2024,2024-07-31,747167
2024,2024-07-31,745389
2024,2024-07-31,745309
2024,2024-07-31,745061
2024,2024-07-31,747003
2024,2024-07-31,745543
2024,2024-07-31,745789
2024,2024-07-31,746764
2024,2024-07-31,745960
2024,2024-07-31,745148
2024,2024-07-31,747170
2024,2024-07-31,746925
2024,2024-07-31,746678
2024,2024-08-01,746363
2024,2024-08-01,745386
2024,2024-08-01,746198
2024,2024-08-01,745306
2024,2024-08-01,746607
2024,2024-08-01,746442
2024,2024-08-01,747092
2024,2024-08-02,746849
2024,2024-08-02,746196
2024,2024-08-02,746845
2024,2024-08-02,746443
2024,2024-08-02,745471
2024,2024-08-02,744825
2024,2024-08-02,745719
2024,2024-08-02,746605
2024,2024-08-02,746679
2024,2024-08-02,747089
2024,2024-08-03,744986
2024,2024-08-03,746354
2024,2024-08-03,745875
2024,2024-08-03,746193
2024,2024-08-03,745631
2024,2024-08-03,745387
2024,2024-08-03,745224
2024,2024-08-03,745714
2024,2024-08-03,746846
2024,2024-08-03,744823
2024,2024-08-03,746440
2024,2024-08-03,745474
2024,2024-08-03,744987
2024,2024-08-03,745876
2024,2024-08-03,746608
2024,2024-08-03,746681
2024,2024-08-03,746358
2024,2024-08-03,747087
2024,2024-08-04,745388
2024,2024-08-04,745636
2024,2024-08-04,746194
2024,2024-08-04,745225
2024,2024-08-04,746680
2024,2024-08-04,745468
2024,2024-08-04,747088
2024,2024-08-04,745718
2024,2024-08-04,744826
2024,2024-08-04,746606
2024,2024-08-04,746439
2024,2024-08-04,746356
2024,2024-08-04,745879
2024,2024-08-04,744979
2024,2024-08-04,746191
2024,2024-08-04,745627
2024,2024-08-04,745384
2024,2024-08-04,745222
2024,2024-08-04,746844
2024,2024-08-05,746600
2024,2024-08-05,746038
2024,2024-08-05,744821
2024,2024-08-06,744982
2024,2024-08-06,746847
2024,2024-08-06,746276
2024,2024-08-06,745628
2024,2024-08-06,746116
2024,2024-08-06,745467
2024,2024-08-06,746033
2024,2024-08-06,744817
2024,2024-08-06,744901
2024,2024-08-06,747086
2024,2024-08-06,745141
2024,2024-08-07,744983
2024,2024-08-07,746840
2024,2024-08-07,746273
2024,2024-08-07,746519
2024,2024-08-07,745221
2024,2024-08-07,745629
2024,2024-08-07,746120
2024,2024-08-07,746602
2024,2024-08-07,745713
2024,2024-08-07,746604
2024,2024-08-07,746842
2024,2024-08-07,744981
2024,2024-08-07,745630
2024,2024-08-07,745709
2024,2024-08-07,745469
2024,2024-08-07,746031
2024,2024-08-07,744822
2024,2024-08-07,744903
2024,2024-08-07,747085
2024,2024-08-07,745142
2024,2024-08-08,746272
2024,2024-08-08,746521
2024,2024-08-08,745223
2024,2024-08-08,746115
2024,2024-08-08,744819
2024,2024-08-08,747081
2024,2024-08-08,745466
2024,2024-08-08,746522
2024,2024-08-08,746030
2024,2024-08-08,745710
2024,2024-08-08,744899
2024,2024-08-08,745143
2024,2024-08-09,745226
2024,2024-08-09,747169
2024,2024-08-10,745871
2024,2024-08-09,744818
2024,2024-08-09,745062
2024,2024-08-09,744900
2024,2024-08-09,746927
2024,2024-08-09,746032
2024,2024-08-10,746275
2024,2024-08-10,746760
2024,2024-08-10,745957
2024,2024-08-10,746523
2024,2024-08-10,747168
2024,2024-08-10,746113
2024,2024-08-10,745220
2024,2024-08-10,745308
2024,2024-08-10,745708
2024,2024-08-10,745712
2024,2024-08-10,744897
2024,2024-08-10,745304
2024,2024-08-10,746922
2024,2024-08-10,746026
2024,2024-08-10,744820
2024,2024-08-10,746269
2024,2024-08-10,745873
2024,2024-08-10,745955
2024,2024-08-10,745056
2024,2024-08-10,746761
2024,2024-08-11,747164
2024,2024-08-11,746520
2024,2024-08-11,746112
2024,2024-08-11,745219
2024,2024-08-11,744816
2024,2024-08-11,746923
2024,2024-08-11,745711
2024,2024-08-11,744895
2024,2024-08-11,745057
2024,2024-08-11,746025
2024,2024-08-11,745872
2024,2024-08-11,745956
2024,2024-08-11,746517
2024,2024-08-11,745303
2024,2024-08-11,746114
2024,2024-08-11,747166
2024,2024-08-11,745216
2024,2024-08-12,746603
2024,2024-08-12,746682
2024,2024-08-12,745058
2024,2024-08-12,746921
2024,2024-08-12,745874
2024,2024-08-13,746762
2024,2024-08-13,745953
2024,2024-08-13,746192
2024,2024-08-13,747165
2024,2024-08-13,745383
2024,2024-08-13,745300
2024,2024-08-13,747004
2024,2024-08-13,746601
2024,2024-08-13,746435
