Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
SL,Slider,BR,810,32.37,203,161,36,17.73,39,19.21,375,93,24.8,11.48,168,20.74,32.22,25.49,25.07,18.75,0.261,0.404,0.491,0.895,0.2299999999999999,579328
CU,Curveball,BR,414,16.55,118,110,23,19.49,5,4.24,196,44,22.45,10.63,74,17.87,28.5,28.86,15.27,19.66,0.245,0.274,0.391,0.665,0.146,579328
CH,Changeup,OS,367,14.67,98,97,28,28.57,1,1.02,178,43,24.16,11.72,28,7.63,19.35,30.43,20.23,17.42,0.216,0.224,0.289,0.513,0.0729999999999999,579328
,,,15,0.6,4,0,0,0.0,4,100.0,0,0,,0.0,0,0.0,0.0,,0.13,0.0,,1.0,,,,579328
SI,Sinker,FB,9,0.36,1,1,0,0.0,0,0.0,4,0,0.0,0.0,0,0.0,0.0,0.0,0.39,0.0,1.0,1.0,1.0,2.0,0.0,579328
SL,Slider,BR,229,41.26,52,51,15,28.85,0,0.0,120,51,42.5,22.27,42,18.34,40.61,33.68,26.16,33.33,0.275,0.269,0.314,0.583,0.0389999999999999,592094
FF,4-Seam Fastball,FB,140,25.23,34,31,7,20.59,3,8.82,66,14,21.21,10.0,20,14.29,24.29,34.94,26.74,15.22,0.194,0.265,0.194,0.459,0.0,592094
CH,Changeup,OS,112,20.18,34,29,10,29.41,4,11.76,61,17,27.87,15.18,14,12.5,27.68,32.69,30.23,19.23,0.276,0.382,0.31,0.692,0.0339999999999999,592094
ST,Sweeper,BR,67,12.07,18,16,4,22.22,2,11.11,28,8,28.57,11.94,8,11.94,23.88,23.81,16.28,14.29,0.25,0.333,0.438,0.771,0.188,592094
,,,5,0.9,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,592094
FC,Cutter,FB,2,0.36,1,1,0,0.0,0,0.0,2,1,50.0,50.0,0,0.0,50.0,100.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,592094
FF,4-Seam Fastball,FB,157,47.58,37,30,6,16.22,5,13.51,81,12,14.81,7.64,18,11.46,19.11,26.92,49.12,10.71,0.333,0.444,0.667,1.111,0.334,592155
FC,Cutter,FB,97,29.39,24,19,4,16.67,4,16.67,40,13,32.5,13.4,21,21.65,35.05,30.19,22.81,15.38,0.316,0.458,0.895,1.353,0.579,592155
ST,Sweeper,BR,60,18.18,20,20,7,35.0,0,0.0,31,10,32.26,16.67,12,20.0,36.67,39.29,23.68,25.93,0.1,0.1,0.1,0.2,0.0,592155
CH,Changeup,OS,15,4.55,0,0,0,,0,,5,4,80.0,26.67,1,6.67,33.33,25.0,4.39,0.0,,,,,,592155
,,,1,0.3,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,592155
FF,4-Seam Fastball,FB,14,34.15,2,1,1,50.0,1,50.0,3,0,0.0,0.0,3,21.43,21.43,12.5,33.33,20.0,0.0,0.5,0.0,0.5,0.0,592254
SV,Slurve,BR,12,29.27,5,5,3,60.0,0,0.0,11,8,72.73,66.67,0,0.0,66.67,83.33,46.67,42.86,0.2,0.2,0.2,0.4,0.0,592254
SL,Slider,BR,11,26.83,4,4,0,0.0,0,0.0,6,0,0.0,0.0,3,27.27,27.27,25.0,6.67,0.0,0.5,0.5,1.25,1.75,0.75,592254
CH,Changeup,OS,4,9.76,1,1,0,0.0,0,0.0,3,1,33.33,25.0,0,0.0,25.0,0.0,13.33,0.0,1.0,1.0,1.0,2.0,0.0,592254
FF,4-Seam Fastball,FB,839,51.25,236,214,41,17.37,18,7.63,449,76,16.93,9.06,185,22.05,31.11,25.09,43.39,16.87,0.266,0.329,0.383,0.712,0.1169999999999999,592332
FS,Split-Finger,OS,573,35.0,138,130,60,43.48,7,5.07,308,126,40.91,21.99,28,4.89,26.88,36.44,49.11,21.82,0.177,0.217,0.338,0.555,0.161,592332
SL,Slider,BR,220,13.44,31,30,4,12.9,0,0.0,75,31,41.33,14.09,33,15.0,29.09,20.14,7.5,9.52,0.3,0.29,0.467,0.757,0.167,592332
,,,4,0.24,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,592332
SI,Sinker,FB,1,0.06,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,592332
FF,4-Seam Fastball,FB,63,49.22,21,18,4,19.05,3,14.29,35,4,11.43,6.35,6,9.52,15.87,27.59,51.52,23.53,0.389,0.476,0.889,1.365,0.5,592351
