Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
CU,Curveball,BR,85,9.52,17,16,4,23.53,1,5.88,34,6,17.65,7.06,9,10.59,17.65,29.51,17.88,8.16,0.062,0.118,0.188,0.306,0.126,471911
ST,Sweeper,BR,9,1.01,3,3,1,33.33,0,0.0,5,1,20.0,11.11,1,11.11,22.22,33.33,1.46,25.0,0.0,0.0,0.0,0.0,0.0,471911
SI,Sinker,FB,168,40.58,38,31,2,5.26,4,10.53,72,9,12.5,5.36,43,25.6,30.95,12.5,19.13,9.09,0.226,0.351,0.452,0.8029999999999999,0.226,472610
FS,Split-Finger,OS,159,38.41,54,52,18,33.33,1,1.85,87,27,31.03,16.98,17,10.69,27.67,40.0,58.26,26.87,0.308,0.315,0.365,0.6799999999999999,0.0569999999999999,472610
FF,4-Seam Fastball,FB,37,8.94,12,10,2,16.67,2,16.67,20,2,10.0,5.41,3,8.11,13.51,31.58,15.65,11.11,0.2,0.333,0.4,0.7330000000000001,0.2,472610
ST,Sweeper,BR,21,5.07,1,1,0,0.0,0,0.0,6,4,66.67,19.05,9,42.86,61.9,30.0,0.0,,1.0,1.0,4.0,5.0,3.0,472610
SL,Slider,BR,19,4.59,5,4,3,60.0,1,20.0,7,4,57.14,21.05,2,10.53,31.58,23.08,3.48,75.0,0.0,0.2,0.0,0.2,0.0,472610
,,,6,1.45,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,1.74,0.0,,1.0,,,,472610
FC,Cutter,FB,4,0.97,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,25.0,1.74,0.0,,,,,,472610
SL,Slider,BR,60,50.0,17,15,5,29.41,0,0.0,35,9,25.71,15.0,9,15.0,30.0,40.0,50.0,33.33,0.2,0.188,0.2,0.388,0.0,477132
FF,4-Seam Fastball,FB,43,35.83,11,9,1,9.09,0,0.0,21,1,4.76,2.33,11,25.58,27.91,15.38,26.67,12.5,0.333,0.455,0.333,0.788,0.0,477132
CU,Curveball,BR,11,9.17,7,7,3,42.86,0,0.0,8,3,37.5,27.27,1,9.09,36.36,33.33,20.0,50.0,0.286,0.286,0.857,1.143,0.571,477132
SI,Sinker,FB,6,5.0,0,0,0,,0,,2,0,0.0,0.0,1,16.67,16.67,0.0,3.33,0.0,,,,,,477132
FC,Cutter,FB,7,46.67,2,2,1,50.0,0,0.0,2,0,0.0,0.0,4,57.14,57.14,33.33,33.33,50.0,0.0,0.0,0.0,0.0,0.0,489119
SI,Sinker,FB,5,33.33,1,1,0,0.0,0,0.0,3,1,33.33,20.0,0,0.0,20.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,489119
ST,Sweeper,BR,3,20.0,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,16.67,0.0,,,,,,489119
FF,4-Seam Fastball,FB,281,59.53,65,53,28,43.08,11,16.92,133,46,34.59,16.37,67,23.84,40.21,29.46,61.85,26.17,0.094,0.246,0.245,0.491,0.151,489446
FS,Split-Finger,OS,176,37.29,36,33,11,30.56,2,5.56,78,20,25.64,11.36,17,9.66,21.02,33.88,38.15,16.67,0.061,0.111,0.061,0.172,0.0,489446
,,,13,2.75,4,0,0,0.0,4,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,489446
PO,Pitch Out,,1,0.21,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,489446
SL,Slider,BR,1,0.21,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,489446
ST,Sweeper,BR,128,33.25,27,21,6,22.22,5,18.52,57,18,31.58,14.06,36,28.12,42.19,30.91,35.34,12.77,0.286,0.407,0.476,0.883,0.19,493603
SI,Sinker,FB,80,20.78,20,17,6,30.0,2,10.0,28,5,17.86,6.25,22,27.5,33.75,9.09,22.56,20.0,0.294,0.4,0.471,0.871,0.177,493603
FF,4-Seam Fastball,FB,60,15.58,18,16,9,50.0,1,5.56,26,7,26.92,11.67,10,16.67,28.33,11.11,19.55,34.62,0.188,0.278,0.25,0.528,0.062,493603
FC,Cutter,FB,55,14.29,12,9,2,16.67,2,16.67,35,11,31.43,20.0,2,3.64,23.64,43.75,5.26,28.57,0.333,0.5,1.222,1.722,0.889,493603
CH,Changeup,OS,38,9.87,9,9,0,0.0,0,0.0,21,3,14.29,7.89,3,7.89,15.79,46.15,4.51,0.0,0.333,0.333,0.444,0.777,0.1109999999999999,493603
SL,Slider,BR,15,3.9,5,5,2,40.0,0,0.0,10,2,20.0,13.33,0,0.0,13.33,55.56,11.28,13.33,0.4,0.4,1.0,1.4,0.6,493603
CU,Curveball,BR,8,2.08,1,0,0,0.0,0,0.0,3,2,66.67,25.0,0,0.0,25.0,37.5,1.5,0.0,,1.0,,,,493603
,,,1,0.26,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,493603
