mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
680577,10,9,29,0.222,1,10.0,0,0.0,0.3,0.556,0.8560000000000001,0.3340000000000001,15,3,20.0,10.34,3,10.34,20.69,8.33,16.67
605244,6,6,29,0.0,2,33.33,0,0.0,0.0,0.0,0.0,0.0,16,5,31.25,17.24,3,10.34,27.59,28.57,20.0
663604,6,6,29,0.0,2,33.33,0,0.0,0.0,0.0,0.0,0.0,13,3,23.08,10.34,5,17.24,27.59,31.25,16.67
687799,7,6,29,0.333,1,14.29,1,14.29,0.429,0.333,0.762,0.0,14,4,28.57,13.79,4,13.79,27.59,33.33,11.11
666211,7,7,29,0.143,3,42.86,0,0.0,0.143,0.143,0.286,0.0,15,4,26.67,13.79,6,20.69,34.48,12.5,27.27
675659,6,5,29,0.2,4,66.67,1,16.67,0.333,0.8,1.133,0.6000000000000001,14,6,42.86,20.69,3,10.34,31.03,29.41,36.36
680911,8,8,29,0.25,3,37.5,0,0.0,0.25,0.25,0.5,0.0,14,5,35.71,17.24,6,20.69,37.93,30.77,33.33
680769,8,8,28,0.125,3,37.5,0,0.0,0.125,0.125,0.25,0.0,19,10,52.63,35.71,3,10.71,46.43,68.42,33.33
665155,5,5,28,0.0,2,40.0,0,0.0,0.0,0.0,0.0,0.0,12,4,33.33,14.29,3,10.71,25.0,17.65,16.67
668843,8,8,25,0.25,2,25.0,0,0.0,0.25,0.25,0.5,0.0,16,4,25.0,16.0,3,12.0,28.0,40.0,25.0
595284,6,6,25,0.167,2,33.33,0,0.0,0.167,0.167,0.334,0.0,15,10,66.67,40.0,3,12.0,52.0,57.14,16.67
656883,8,7,24,0.143,2,25.0,1,12.5,0.25,0.286,0.536,0.143,11,4,36.36,16.67,5,20.83,37.5,38.46,28.57
687957,7,6,23,0.333,2,28.57,1,14.29,0.429,1.0,1.429,0.667,10,3,30.0,13.04,4,17.39,30.43,30.0,40.0
682119,5,5,23,0.2,2,40.0,0,0.0,0.2,0.4,0.6000000000000001,0.2,10,6,60.0,26.09,6,26.09,52.17,50.0,22.22
676679,6,5,21,0.0,3,50.0,0,0.0,0.167,0.0,0.167,0.0,12,7,58.33,33.33,3,14.29,47.62,41.67,50.0
682634,7,7,19,0.143,0,0.0,0,0.0,0.143,0.143,0.286,0.0,9,0,0.0,0.0,5,26.32,26.32,0.0,0.0
668752,4,4,18,0.25,1,25.0,0,0.0,0.25,0.25,0.5,0.0,6,1,16.67,5.56,4,22.22,27.78,30.0,16.67
669352,4,4,17,0.0,4,100.0,0,0.0,0.0,0.0,0.0,0.0,9,8,88.89,47.06,3,17.65,64.71,50.0,100.0
665856,4,3,17,0.0,2,50.0,1,25.0,0.25,0.0,0.25,0.0,6,3,50.0,17.65,4,23.53,41.18,27.27,28.57
681962,5,5,16,0.0,3,60.0,0,0.0,0.0,0.0,0.0,0.0,9,5,55.56,31.25,4,25.0,56.25,40.0,75.0
664059,5,4,16,0.0,1,20.0,1,20.0,0.2,0.0,0.2,0.0,6,2,33.33,12.5,2,12.5,25.0,10.0,100.0
660636,4,3,16,0.333,1,25.0,1,25.0,0.5,0.333,0.833,0.0,3,0,0.0,0.0,7,43.75,43.75,22.22,20.0
663630,3,2,13,0.5,1,33.33,1,33.33,0.667,0.5,1.167,0.0,4,2,50.0,15.38,2,15.38,30.77,11.11,16.67
664058,3,3,13,0.333,0,0.0,0,0.0,0.333,0.333,0.666,0.0,9,0,0.0,0.0,1,7.69,7.69,57.14,0.0
672701,3,3,13,0.0,1,33.33,0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,3,23.08,23.08,22.22,16.67
622110,4,3,12,0.0,0,0.0,1,25.0,0.25,0.0,0.25,0.0,4,0,0.0,0.0,1,8.33,8.33,0.0,
664702,3,3,11,0.333,0,0.0,0,0.0,0.333,0.333,0.666,0.0,4,1,25.0,9.09,3,27.27,36.36,20.0,0.0
682619,3,3,11,0.333,1,33.33,0,0.0,0.333,0.333,0.666,0.0,6,3,50.0,27.27,2,18.18,45.45,50.0,25.0
672724,3,3,10,0.0,1,33.33,0,0.0,0.0,0.0,0.0,0.0,4,1,25.0,10.0,3,30.0,40.0,25.0,25.0
669087,2,2,10,0.0,1,50.0,0,0.0,0.0,0.0,0.0,0.0,6,2,33.33,20.0,2,20.0,40.0,50.0,20.0
687066,1,1,7,0.0,1,100.0,0,0.0,0.0,0.0,0.0,0.0,4,3,75.0,42.86,0,0.0,42.86,50.0,33.33
694355,2,2,7,0.0,1,50.0,0,0.0,0.0,0.0,0.0,0.0,3,1,33.33,14.29,2,28.57,42.86,0.0,33.33
676946,2,2,7,0.5,0,0.0,0,0.0,0.5,1.5,2.0,1.0,2,0,0.0,0.0,2,28.57,28.57,0.0,
669392,2,2,6,0.5,0,0.0,0,0.0,0.5,0.5,1.0,0.0,4,2,50.0,33.33,0,0.0,33.33,50.0,0.0
669450,2,2,6,0.0,1,50.0,0,0.0,0.0,0.0,0.0,0.0,3,1,33.33,16.67,1,16.67,33.33,0.0,50.0
676896,1,1,6,0.0,1,100.0,0,0.0,0.0,0.0,0.0,0.0,5,2,40.0,33.33,0,0.0,33.33,75.0,25.0
622491,1,1,3,0.0,1,100.0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,3,100.0,100.0,,100.0
605119,1,1,2,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0,0.0,0.0,,
675915,1,1,2,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,
656448,1,1,1,1.0,0,0.0,0,0.0,1.0,2.0,3.0,1.0,1,0,0.0,0.0,0,0.0,0.0,,
669288,1,1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,,
