year,date,gid,home,away,hPitcher,aPitcher,hLineup,aLineup
2025,2025-04-03,778466,NYY,AZ,471911,518876,"[700250, 641355, 592450, 665862, 691176, 683011, 663757, 641555, 665828]","[682998, 672695, 656976, 647304, 666971, 553993, 677950, 641658, 645444]"
2025,2025-04-03,778468,MIL,CIN,641482,666157,"[694192, 592885, 661388, 656555, 686217, 681962, 686555, 687401, 668930]","[670770, 680574, 682829, 687952, 600869, 694362, 668715, 669289, 624431]"
2025,2025-04-04,778458,DET,CWS,656427,686563,"[669234, 681481, 682985, 679529, 690993, 656716, 693307, 700242, 595879]","[678246, 673357, 643217, 683734, 665155, 672820, 642136, 681460, 608671]"
2025,2025-04-04,778463,BOS,STL,621111,607200,"[680776, 646240, 608324, 671213, 596115, 677800, 692225, 665966, 678882]","[663457, 575929, 680977, 571448, 676475, 671056, 691023, 687363, 691026]"
2025,2025-04-04,778460,CHC,SD,684007,681190,"[664023, 663656, 673548, 683737, 621020, 663538, 691718, 807713, 665804]","[665487, 650333, 592518, 593428, 701538, 493329, 630105, 663604, 455117]"
2025,2025-04-04,778465,NYM,TOR,656731,592332,"[596019, 665742, 624413, 607043, 516782, 668901, 620443, 682668, 642350]","[666182, 665489, 623993, 665926, 672386, 543807, 695238, 676391, 702176]"
2025,2025-04-04,778456,COL,ATH,663372,674370,"[686668, 678662, 641857, 696100, 669911, 571657, 607732, 687597, 666160]","[671732, 667670, 668709, 669127, 691016, 609280, 805779, 570482, 691777]"
2025,2025-04-04,778461,PIT,NYY,656605,608331,"[663647, 668804, 665833, 663698, 457705, 502054, 682848, 669707, 643396]","[700250, 592450, 665862, 502671, 669224, 683011, 663757, 691176, 665828]"
2025,2025-04-04,778444,SF,SEA,434378,622379,"[664774, 642715, 808982, 656305, 671218, 573262, 527038, 672275, 666149]","[645302, 677594, 663728, 668227, 593871, 670042, 642133, 669208, 641487]"
2025,2025-04-04,778457,WSH,AZ,663623,694297,"[682928, 695578, 660688, 663993, 671277, 605137, 686611, 677588, 696285]","[682998, 606466, 656976, 647304, 666971, 553993, 672515, 664983, 672695]"
2025,2025-04-04,778459,PHI,LAD,666200,808967,"[656941, 607208, 547180, 664761, 596146, 592206, 592663, 681082, 669016]","[660271, 605141, 669242, 606192, 669257, 571771, 624424, 500743, 681624]"
2025,2025-04-04,778464,ATL,MIA,680885,676974,"[671739, 645277, 542303, 621566, 663586, 650559, 686948, 669397, 672284]","[669364, 669065, 665052, 672640, 670223, 689414, 681146, 688363, 667472]"
2025,2025-04-04,778455,KC,BAL,607625,665152,"[663697, 677951, 686469, 521692, 686681, 624415, 672580, 669004, 664728]","[683002, 668939, 676059, 656775, 656811, 641933, 677008, 663624, 702616]"
2025,2025-04-05,778454,TEX,TB,641816,641793,"[543760, 608369, 694671, 592626, 666969, 669394, 669701, 543309, 665750]","[650490, 664040, 691406, 666018, 666624, 670224, 643376, 670764, 676356]"
2025,2025-04-05,778453,MIL,CIN,641302,607259,"[668930, 694192, 592885, 661388, 686217, 656555, 686554, 669003, 687401]","[670770, 668715, 682829, 687952, 600869, 694362, 666158, 669289, 642851]"
2025,2025-04-05,778447,LAA,CLE,667755,668909,"[621493, 545361, 624585, 660162, 681351, 694384, 650859, 666176, 621028]","[680757, 608070, 467793, 700932, 657041, 678877, 666310, 672356, 677587]"
2025,2025-04-05,778445,DET,CWS,681857,663436,"[669234, 681481, 682985, 679529, 690993, 628451, 668670, 700242, 668952]","[678246, 673357, 643217, 683734, 665155, 672820, 681460, 686676, 676070]"
2025,2025-04-05,778440,MIN,HOU,641927,681293,"[670242, 621043, 621439, 663616, 664034, 650489, 666397, 669304, 543877]","[514888, 670623, 670541, 572233, 673237, 665161, 663898, 701358, 676694]"
2025,2025-04-05,778450,CHC,SD,571510,601713,"[664023, 663656, 673548, 683737, 621020, 663538, 691718, 807713, 608348]","[665487, 650333, 592518, 593428, 701538, 493329, 630105, 663604, 553869]"
2025,2025-04-05,778452,WSH,AZ,680730,593958,"[682928, 642708, 663993, 605137, 695578, 669743, 686611, 657557, 656180]","[672695, 682998, 666971, 545341, 647304, 553993, 672515, 677950, 694374]"
2025,2025-04-05,778448,PHI,LAD,605400,808963,"[656941, 607208, 547180, 664761, 596146, 592206, 592663, 681082, 669016]","[660271, 605141, 606192, 624424, 669242, 571970, 681624, 571771, 605131]"
2025,2025-04-05,778449,PIT,NYY,663559,573186,"[624428, 668804, 665833, 663647, 669261, 672744, 665839, 682848, 643396]","[502671, 700250, 592450, 665862, 683011, 669224, 691176, 672724, 663757]"
2025,2025-04-05,778441,KC,BAL,608379,608372,"[663697, 677951, 686469, 521692, 686681, 592669, 669004, 672580, 664728]","[683002, 676059, 656775, 663624, 641933, 677008, 602104, 596142, 702616]"
2025,2025-04-05,778438,TEX,TB,594798,671737,"[543760, 608369, 694671, 592626, 666969, 669394, 669701, 543309, 665750]","[650490, 664040, 676356, 666018, 643376, 670224, 678554, 663968, 676609]"
2025,2025-04-05,778446,NYM,TOR,656288,605135,"[596019, 665742, 624413, 607043, 608385, 668901, 683146, 642350, 663584]","[666182, 665489, 623993, 665926, 672386, 543807, 695238, 664702, 702176]"
